Loan ID,Customer ID,Loan Amount,Loan Type,Rate of Interest,Term (Months),Loan Status,Issue Date,EMI
LOAN20001,CUST10423,3327760.0,Personal,10.92,24,Ongoing,2022-06-29,154976.13
LOAN20002,CUST10085,4489649.0,Home,11.67,24,Closed,2025-01-03,210652.14
LOAN20003,CUST10706,1641604.0,Education,9.62,60,Closed,2023-03-27,34573.09
LOAN20004,CUST10586,1887617.0,Home,8.19,24,Ongoing,2022-12-21,85535.47
LOAN20005,CUST10912,4055122.0,Education,11.25,12,Ongoing,2022-03-15,358871.46
LOAN20006,CUST10380,3828798.0,Education,14.08,36,Ongoing,2025-03-06,131008.06
LOAN20007,CUST10437,4941413.0,Personal,10.27,60,Ongoing,2022-09-13,105648.1
LOAN20008,CUST10289,650813.0,Auto,13.1,60,Closed,2021-07-25,14841.33
LOAN20009,CUST10303,1988558.0,Auto,10.42,48,Closed,2021-10-28,50837.01
LOAN20010,CUST10848,2590979.0,Personal,11.75,36,Closed,2022-09-26,85748.53
LOAN20011,CUST10948,4727503.0,Home,8.89,12,Closed,2024-01-10,413186.01
LOAN20012,CUST10914,1926390.0,Personal,11.25,48,Closed,2024-07-16,50022.76
LOAN20013,CUST10784,233822.0,Asset,9.45,24,Ongoing,2024-07-26,10730.44
LOAN20014,CUST10723,88864.0,Auto,7.9,48,Ongoing,2022-04-16,2165.26
LOAN20015,CUST10754,2414248.0,Personal,13.72,48,Closed,2024-08-22,65634.29
LOAN20016,CUST10792,2187536.0,Asset,8.98,36,Ongoing,2024-10-30,69542.7
LOAN20017,CUST10442,1731219.0,Asset,11.37,36,Closed,2022-04-19,56981.71
LOAN20018,CUST10547,2057575.0,Auto,13.77,12,Closed,2025-05-20,184521.13
LOAN20019,CUST10715,2394550.0,Personal,13.93,48,Closed,2022-12-20,65350.56
LOAN20020,CUST10538,563658.0,Auto,8.78,12,Closed,2021-10-16,49235.24
LOAN20021,CUST10237,882399.0,Home,10.98,12,Ongoing,2023-01-02,77979.66
LOAN20022,CUST10929,1963242.0,Personal,8.52,60,Ongoing,2022-06-19,40297.84
LOAN20023,CUST10091,185689.0,Personal,9.89,12,Closed,2021-12-02,16315.51
LOAN20024,CUST10472,2335232.0,Personal,12.75,24,Closed,2021-07-22,110747.16
LOAN20025,CUST10755,1245423.0,Personal,14.82,60,Closed,2022-02-18,29510.98
LOAN20026,CUST10287,270121.0,Home,13.45,24,Ongoing,2022-07-07,12899.21
LOAN20027,CUST10108,185531.0,Home,8.24,36,Closed,2024-05-11,5834.43
LOAN20028,CUST10174,1624517.0,Education,7.64,48,Closed,2022-08-07,39385.26
