Payment ID,Loan ID,Pay Date,Amount Paid,Status
PAY30000,LOAN20001,2022-07-29,154976.13,Late
PAY30001,LOAN20001,2022-08-29,154976.13,Late
PAY30002,LOAN20001,2022-09-29,154976.13,Late
PAY30003,LOAN20001,2022-10-29,154976.13,Late
PAY30004,LOAN20001,2022-11-29,154976.13,Late
PAY30005,LOAN20001,2022-12-29,154976.13,Late
PAY30006,LOAN20001,2023-01-29,154976.13,Late
PAY30007,LOAN20001,2023-02-28,154976.13,Late
PAY30008,LOAN20001,2023-03-29,154976.13,Late
PAY30009,LOAN20001,2023-04-29,154976.13,Late
PAY30010,LOAN20001,2023-05-29,154976.13,Late
PAY30011,LOAN20001,2023-06-29,154976.13,Late
PAY30012,LOAN20001,2023-07-29,154976.13,Late
PAY30013,LOAN20001,2023-08-29,154976.13,Late
PAY30014,LOAN20001,2023-09-29,154976.13,Late
PAY30015,LOAN20001,2023-10-29,154976.13,Late
PAY30016,LOAN20001,2023-11-29,154976.13,Late
PAY30017,LOAN20001,2023-12-29,154976.13,Late
PAY30018,LOAN20001,2024-01-29,154976.13,Late
PAY30019,LOAN20002,2025-02-03,0.0,OnTime
PAY30020,LOAN20002,2025-03-03,0.0,OnTime
PAY30021,LOAN20002,2025-04-03,0.0,OnTime
PAY30022,LOAN20002,2025-05-03,0.0,OnTime
PAY30023,LOAN20003,2023-04-27,16996.03,OnTime
PAY30024,LOAN20003,2023-05-27,16817.82,OnTime
PAY30025,LOAN20003,2023-06-27,24795.44,OnTime
PAY30026,LOAN20003,2023-07-27,16848.89,OnTime
PAY30027,LOAN20003,2023-08-27,17119.99,OnTime
PAY30028,LOAN20003,2023-09-27,23018.4,OnTime
PAY30029,LOAN20003,2023-10-27,19271.35,OnTime
PAY30030,LOAN20003,2023-11-27,23227.89,OnTime
PAY30031,LOAN20003,2023-12-27,14620.2,OnTime
PAY30032,LOAN20003,2024-01-27,19729.13,OnTime
PAY30033,LOAN20003,2024-02-27,14235.98,OnTime
PAY30034,LOAN20003,2024-03-27,14587.38,OnTime
PAY30035,LOAN20003,2024-04-27,24797.66,OnTime
PAY30036,LOAN20003,2024-05-27,15514.19,OnTime
PAY30037,LOAN20003,2024-06-27,20271.84,OnTime
PAY30038,LOAN20003,2024-07-27,18803.73,OnTime
PAY30039,LOAN20003,2024-08-27,18032.29,OnTime
PAY30040,LOAN20003,2024-09-27,24717.74,OnTime
PAY30041,LOAN20003,2024-10-27,14093.31,OnTime
PAY30042,LOAN20003,2024-11-27,21861.48,OnTime
PAY30043,LOAN20003,2024-12-27,25486.87,OnTime
PAY30044,LOAN20003,2025-01-27,20607.6,OnTime
PAY30045,LOAN20003,2025-02-27,25165.33,OnTime
PAY30046,LOAN20003,2025-03-27,14461.59,OnTime
PAY30047,LOAN20003,2025-04-27,18896.88,OnTime
PAY30048,LOAN20003,2025-05-27,16977.3,OnTime
PAY30049,LOAN20003,2025-06-27,22672.59,OnTime
PAY30050,LOAN20003,2025-07-27,25703.5,OnTime
PAY30051,LOAN20003,2025-08-27,16933.4,OnTime
PAY30052,LOAN20003,2025-09-27,21745.13,OnTime
PAY30053,LOAN20003,2025-10-27,16226.33,OnTime
PAY30054,LOAN20003,2025-11-27,20670.06,OnTime
PAY30055,LOAN20003,2025-12-27,19443.09,OnTime
PAY30056,LOAN20004,2023-01-21,63313.51,OnTime
PAY30057,LOAN20004,2023-02-21,52431.92,OnTime
PAY30058,LOAN20004,2023-03-21,44677.51,OnTime
PAY30059,LOAN20004,2023-04-21,37629.92,OnTime
PAY30060,LOAN20004,2023-05-21,38742.13,OnTime
PAY30061,LOAN20004,2023-06-21,40959.59,OnTime
PAY30062,LOAN20004,2023-07-21,41727.48,OnTime
PAY30063,LOAN20004,2023-08-21,59679.43,OnTime
PAY30064,LOAN20004,2023-09-21,51015.75,OnTime
PAY30065,LOAN20004,2023-10-21,49883.16,OnTime
PAY30066,LOAN20004,2023-11-21,37650.07,OnTime
PAY30067,LOAN20004,2023-12-21,59964.55,OnTime
PAY30068,LOAN20004,2024-01-21,55853.38,OnTime
PAY30069,LOAN20004,2024-02-21,36240.0,OnTime
PAY30070,LOAN20004,2024-03-21,55404.94,OnTime
PAY30071,LOAN20004,2024-04-21,50486.32,OnTime
PAY30072,LOAN20004,2024-05-21,36660.83,OnTime
PAY30073,LOAN20004,2024-06-21,47934.52,OnTime
PAY30074,LOAN20004,2024-07-21,48724.74,OnTime
PAY30075,LOAN20004,2024-08-21,39177.05,OnTime
PAY30076,LOAN20004,2024-09-21,62525.95,OnTime
PAY30077,LOAN20005,2022-04-15,358871.46,OnTime
PAY30078,LOAN20005,2022-05-15,358871.46,OnTime
PAY30079,LOAN20005,2022-06-15,358871.46,OnTime
PAY30080,LOAN20005,2022-07-15,358871.46,OnTime
PAY30081,LOAN20005,2022-08-15,358871.46,OnTime
PAY30082,LOAN20006,2025-04-06,131008.06,OnTime
PAY30083,LOAN20006,2025-05-06,131008.06,OnTime
PAY30084,LOAN20006,2025-06-06,131008.06,OnTime
PAY30085,LOAN20006,2025-07-06,131008.06,OnTime
PAY30086,LOAN20006,2025-08-06,131008.06,OnTime
PAY30087,LOAN20006,2025-09-06,131008.06,OnTime
PAY30088,LOAN20006,2025-10-06,131008.06,OnTime
PAY30089,LOAN20006,2025-11-06,131008.06,OnTime
PAY30090,LOAN20006,2025-12-06,131008.06,OnTime
PAY30091,LOAN20006,2026-01-06,131008.06,OnTime
PAY30092,LOAN20006,2026-02-06,131008.06,OnTime
