Payment ID,Loan ID,Date,Amount Paid,Status
PAY30000,LOAN20001,29-07-2022,0,Late
PAY30001,LOAN20001,29-08-2022,0,Late
PAY30002,LOAN20001,29-09-2022,0,Late
PAY30003,LOAN20001,29-10-2022,0,Late
PAY30004,LOAN20001,29-11-2022,0,Late
PAY30005,LOAN20001,29-12-2022,0,Late
PAY30006,LOAN20001,29-01-2023,0,Late
PAY30007,LOAN20001,28-02-2023,0,Late
PAY30008,LOAN20001,29-03-2023,0,Late
PAY30009,LOAN20001,29-04-2023,0,Late
PAY30010,LOAN20001,29-05-2023,0,Late
PAY30011,LOAN20001,29-06-2023,0,Late
PAY30012,LOAN20001,29-07-2023,0,Late
PAY30013,LOAN20001,29-08-2023,0,Late
PAY30014,LOAN20001,29-09-2023,0,Late
PAY30015,LOAN20001,29-10-2023,0,Late
PAY30016,LOAN20001,29-11-2023,0,Late
PAY30017,LOAN20001,29-12-2023,0,Late
PAY30018,LOAN20001,29-01-2024,0,Late
PAY30019,LOAN20002,03-02-2025,187068.70833333334,OnTime
PAY30020,LOAN20002,03-03-2025,187068.70833333334,OnTime
PAY30021,LOAN20002,03-04-2025,187068.70833333334,OnTime
PAY30022,LOAN20002,03-05-2025,187068.70833333334,OnTime
PAY30023,LOAN20003,27-04-2023,27360.066666666666,OnTime
PAY30024,LOAN20003,27-05-2023,27360.066666666666,OnTime
PAY30025,LOAN20003,27-06-2023,27360.066666666666,OnTime
PAY30026,LOAN20003,27-07-2023,27360.066666666666,OnTime
PAY30027,LOAN20003,27-08-2023,27360.066666666666,OnTime
PAY30028,LOAN20003,27-09-2023,27360.066666666666,OnTime
PAY30029,LOAN20003,27-10-2023,27360.066666666666,OnTime
PAY30030,LOAN20003,27-11-2023,27360.066666666666,OnTime
PAY30031,LOAN20003,27-12-2023,27360.066666666666,OnTime
PAY30032,LOAN20003,27-01-2024,27360.066666666666,OnTime
PAY30033,LOAN20003,27-02-2024,27360.066666666666,OnTime
PAY30034,LOAN20003,27-03-2024,27360.066666666666,OnTime
PAY30035,LOAN20003,27-04-2024,27360.066666666666,OnTime
PAY30036,LOAN20003,27-05-2024,27360.066666666666,OnTime
PAY30037,LOAN20003,27-06-2024,27360.066666666666,OnTime
PAY30038,LOAN20003,27-07-2024,27360.066666666666,OnTime
PAY30039,LOAN20003,27-08-2024,27360.066666666666,OnTime
PAY30040,LOAN20003,27-09-2024,27360.066666666666,OnTime
PAY30041,LOAN20003,27-10-2024,27360.066666666666,OnTime
PAY30042,LOAN20003,27-11-2024,27360.066666666666,OnTime
PAY30043,LOAN20003,27-12-2024,27360.066666666666,OnTime
PAY30044,LOAN20003,27-01-2025,27360.066666666666,OnTime
PAY30045,LOAN20003,27-02-2025,27360.066666666666,OnTime
PAY30046,LOAN20003,27-03-2025,27360.066666666666,OnTime
PAY30047,LOAN20003,27-04-2025,27360.066666666666,OnTime
PAY30048,LOAN20003,27-05-2025,27360.066666666666,OnTime
PAY30049,LOAN20003,27-06-2025,27360.066666666666,OnTime
PAY30050,LOAN20003,27-07-2025,27360.066666666666,OnTime
PAY30051,LOAN20003,27-08-2025,27360.066666666666,OnTime
PAY30052,LOAN20003,27-09-2025,27360.066666666666,OnTime
PAY30053,LOAN20003,27-10-2025,27360.066666666666,OnTime
PAY30054,LOAN20003,27-11-2025,27360.066666666666,OnTime
PAY30055,LOAN20003,27-12-2025,27360.066666666666,OnTime
PAY30056,LOAN20004,21-01-2023,78650.70833333333,OnTime
PAY30057,LOAN20004,21-02-2023,78650.70833333333,OnTime
PAY30058,LOAN20004,21-03-2023,78650.70833333333,OnTime
PAY30059,LOAN20004,21-04-2023,78650.70833333333,OnTime
PAY30060,LOAN20004,21-05-2023,78650.70833333333,OnTime
PAY30061,LOAN20004,21-06-2023,78650.70833333333,OnTime
PAY30062,LOAN20004,21-07-2023,78650.70833333333,OnTime
PAY30063,LOAN20004,21-08-2023,78650.70833333333,OnTime
PAY30064,LOAN20004,21-09-2023,78650.70833333333,OnTime
PAY30065,LOAN20004,21-10-2023,78650.70833333333,OnTime
PAY30066,LOAN20004,21-11-2023,78650.70833333333,OnTime
PAY30067,LOAN20004,21-12-2023,78650.70833333333,OnTime
PAY30068,LOAN20004,21-01-2024,78650.70833333333,OnTime
PAY30069,LOAN20004,21-02-2024,78650.70833333333,OnTime
PAY30070,LOAN20004,21-03-2024,78650.70833333333,OnTime
PAY30071,LOAN20004,21-04-2024,78650.70833333333,OnTime
PAY30072,LOAN20004,21-05-2024,78650.70833333333,OnTime
PAY30073,LOAN20004,21-06-2024,78650.70833333333,OnTime
PAY30074,LOAN20004,21-07-2024,78650.70833333333,OnTime
PAY30075,LOAN20004,21-08-2024,78650.70833333333,OnTime
PAY30076,LOAN20004,21-09-2024,78650.70833333333,OnTime
PAY30077,LOAN20005,15-04-2022,337926.8333333333,OnTime
PAY30078,LOAN20005,15-05-2022,337926.8333333333,OnTime
PAY30079,LOAN20005,15-06-2022,337926.8333333333,OnTime
PAY30080,LOAN20005,15-07-2022,337926.8333333333,OnTime
PAY30081,LOAN20005,15-08-2022,337926.8333333333,OnTime
PAY30082,LOAN20006,06-04-2025,106355.5,OnTime
PAY30083,LOAN20006,06-05-2025,106355.5,OnTime
PAY30084,LOAN20006,06-06-2025,106355.5,OnTime
PAY30085,LOAN20006,06-07-2025,106355.5,OnTime
PAY30086,LOAN20006,06-08-2025,106355.5,OnTime
PAY30087,LOAN20006,06-09-2025,106355.5,OnTime
PAY30088,LOAN20006,06-10-2025,106355.5,OnTime
PAY30089,LOAN20006,06-11-2025,106355.5,OnTime
PAY30090,LOAN20006,06-12-2025,106355.5,OnTime
PAY30091,LOAN20006,06-01-2026,106355.5,OnTime
PAY30092,LOAN20006,06-02-2026,106355.5,OnTime
PAY30093,LOAN20006,06-03-2026,106355.5,OnTime
PAY30094,LOAN20006,06-04-2026,106355.5,OnTime
PAY30095,LOAN20006,06-05-2026,106355.5,OnTime
PAY30096,LOAN20006,06-06-2026,106355.5,OnTime
PAY30097,LOAN20006,06-07-2026,106355.5,OnTime
PAY30098,LOAN20006,06-08-2026,106355.5,OnTime
PAY30099,LOAN20007,13-10-2022,82356.88333333333,OnTime
PAY30100,LOAN20007,13-11-2022,82356.88333333333,OnTime
PAY30101,LOAN20007,13-12-2022,82356.88333333333,OnTime
PAY30102,LOAN20007,13-01-2023,82356.88333333333,OnTime
PAY30103,LOAN20007,13-02-2023,82356.88333333333,OnTime
PAY30104,LOAN20007,13-03-2023,82356.88333333333,OnTime
PAY30105,LOAN20007,13-04-2023,82356.88333333333,OnTime
PAY30106,LOAN20007,13-05-2023,82356.88333333333,OnTime
PAY30107,LOAN20007,13-06-2023,82356.88333333333,OnTime
PAY30108,LOAN20007,13-07-2023,82356.88333333333,OnTime
PAY30109,LOAN20007,13-08-2023,82356.88333333333,OnTime
PAY30110,LOAN20007,13-09-2023,82356.88333333333,OnTime
PAY30111,LOAN20007,13-10-2023,82356.88333333333,OnTime
PAY30112,LOAN20007,13-11-2023,82356.88333333333,OnTime
PAY30113,LOAN20007,13-12-2023,82356.88333333333,OnTime
PAY30114,LOAN20007,13-01-2024,82356.88333333333,OnTime
PAY30115,LOAN20007,13-02-2024,82356.88333333333,OnTime
PAY30116,LOAN20007,13-03-2024,82356.88333333333,OnTime
PAY30117,LOAN20007,13-04-2024,82356.88333333333,OnTime
PAY30118,LOAN20007,13-05-2024,82356.88333333333,OnTime
PAY30119,LOAN20007,13-06-2024,82356.88333333333,OnTime
PAY30120,LOAN20007,13-07-2024,82356.88333333333,OnTime
PAY30121,LOAN20007,13-08-2024,82356.88333333333,OnTime
PAY30122,LOAN20007,13-09-2024,82356.88333333333,OnTime
PAY30123,LOAN20007,13-10-2024,82356.88333333333,OnTime
PAY30124,LOAN20007,13-11-2024,82356.88333333333,OnTime
PAY30125,LOAN20007,13-12-2024,82356.88333333333,OnTime
PAY30126,LOAN20007,13-01-2025,82356.88333333333,OnTime
PAY30127,LOAN20007,13-02-2025,82356.88333333333,OnTime
PAY30128,LOAN20007,13-03-2025,82356.88333333333,OnTime
PAY30129,LOAN20007,13-04-2025,82356.88333333333,OnTime
PAY30130,LOAN20007,13-05-2025,82356.88333333333,OnTime
PAY30131,LOAN20007,13-06-2025,82356.88333333333,OnTime
PAY30132,LOAN20007,13-07-2025,82356.88333333333,OnTime
PAY30133,LOAN20007,13-08-2025,82356.88333333333,OnTime
PAY30134,LOAN20007,13-09-2025,82356.88333333333,OnTime
PAY30135,LOAN20007,13-10-2025,82356.88333333333,OnTime
PAY30136,LOAN20007,13-11-2025,82356.88333333333,OnTime
PAY30137,LOAN20007,13-12-2025,82356.88333333333,OnTime
PAY30138,LOAN20007,13-01-2026,82356.88333333333,OnTime
PAY30139,LOAN20007,13-02-2026,82356.88333333333,OnTime
PAY30140,LOAN20007,13-03-2026,82356.88333333333,OnTime
PAY30141,LOAN20007,13-04-2026,82356.88333333333,OnTime
PAY30142,LOAN20007,13-05-2026,82356.88333333333,OnTime
PAY30143,LOAN20007,13-06-2026,82356.88333333333,OnTime
PAY30144,LOAN20007,13-07-2026,82356.88333333333,OnTime
PAY30145,LOAN20007,13-08-2026,82356.88333333333,OnTime
PAY30146,LOAN20007,13-09-2026,82356.88333333333,OnTime
PAY30147,LOAN20008,25-08-2021,0,Late
PAY30148,LOAN20008,25-09-2021,0,Late
PAY30149,LOAN20008,25-10-2021,0,Late
PAY30150,LOAN20008,25-11-2021,0,Late
PAY30151,LOAN20008,25-12-2021,0,Late
PAY30152,LOAN20008,25-01-2022,0,Late
PAY30153,LOAN20008,25-02-2022,0,Late
PAY30154,LOAN20008,25-03-2022,0,Late
PAY30155,LOAN20008,25-04-2022,0,Late
PAY30156,LOAN20008,25-05-2022,0,Late
PAY30157,LOAN20008,25-06-2022,0,Late
PAY30158,LOAN20008,25-07-2022,0,Late
PAY30159,LOAN20009,28-11-2021,41428.291666666664,OnTime
PAY30160,LOAN20009,28-12-2021,41428.291666666664,OnTime
PAY30161,LOAN20009,28-01-2022,41428.291666666664,OnTime
PAY30162,LOAN20009,28-02-2022,41428.291666666664,OnTime
PAY30163,LOAN20009,28-03-2022,41428.291666666664,OnTime
PAY30164,LOAN20009,28-04-2022,41428.291666666664,OnTime
PAY30165,LOAN20009,28-05-2022,41428.291666666664,OnTime
PAY30166,LOAN20009,28-06-2022,41428.291666666664,OnTime
PAY30167,LOAN20009,28-07-2022,41428.291666666664,OnTime
PAY30168,LOAN20009,28-08-2022,41428.291666666664,OnTime
PAY30169,LOAN20009,28-09-2022,41428.291666666664,OnTime
PAY30170,LOAN20009,28-10-2022,41428.291666666664,OnTime
PAY30171,LOAN20009,28-11-2022,41428.291666666664,OnTime
PAY30172,LOAN20009,28-12-2022,41428.291666666664,OnTime
PAY30173,LOAN20009,28-01-2023,41428.291666666664,OnTime
PAY30174,LOAN20009,28-02-2023,41428.291666666664,OnTime
PAY30175,LOAN20009,28-03-2023,41428.291666666664,OnTime
PAY30176,LOAN20009,28-04-2023,41428.291666666664,OnTime
PAY30177,LOAN20009,28-05-2023,41428.291666666664,OnTime
PAY30178,LOAN20009,28-06-2023,41428.291666666664,OnTime
PAY30179,LOAN20009,28-07-2023,41428.291666666664,OnTime
PAY30180,LOAN20009,28-08-2023,41428.291666666664,OnTime
PAY30181,LOAN20009,28-09-2023,41428.291666666664,OnTime
PAY30182,LOAN20009,28-10-2023,41428.291666666664,OnTime
PAY30183,LOAN20009,28-11-2023,41428.291666666664,OnTime
PAY30184,LOAN20009,28-12-2023,41428.291666666664,OnTime
PAY30185,LOAN20009,28-01-2024,41428.291666666664,OnTime
PAY30186,LOAN20009,28-02-2024,41428.291666666664,OnTime
PAY30187,LOAN20009,28-03-2024,41428.291666666664,OnTime
PAY30188,LOAN20009,28-04-2024,41428.291666666664,OnTime
PAY30189,LOAN20009,28-05-2024,41428.291666666664,OnTime
PAY30190,LOAN20009,28-06-2024,41428.291666666664,OnTime
PAY30191,LOAN20009,28-07-2024,41428.291666666664,OnTime
PAY30192,LOAN20009,28-08-2024,41428.291666666664,OnTime
PAY30193,LOAN20009,28-09-2024,41428.291666666664,OnTime
PAY30194,LOAN20009,28-10-2024,41428.291666666664,OnTime
PAY30195,LOAN20009,28-11-2024,41428.291666666664,OnTime
PAY30196,LOAN20009,28-12-2024,41428.291666666664,OnTime
PAY30197,LOAN20009,28-01-2025,41428.291666666664,OnTime
PAY30198,LOAN20009,28-02-2025,41428.291666666664,OnTime
PAY30199,LOAN20009,28-03-2025,41428.291666666664,OnTime
PAY30200,LOAN20010,26-10-2022,0,Late
PAY30201,LOAN20010,26-11-2022,0,Late
PAY30202,LOAN20010,26-12-2022,0,Late
PAY30203,LOAN20010,26-01-2023,0,Late
PAY30204,LOAN20010,26-02-2023,0,Late
PAY30205,LOAN20010,26-03-2023,0,Late
PAY30206,LOAN20010,26-04-2023,0,Late
PAY30207,LOAN20010,26-05-2023,0,Late
PAY30208,LOAN20010,26-06-2023,0,Late
PAY30209,LOAN20010,26-07-2023,0,Late
PAY30210,LOAN20010,26-08-2023,0,Late
PAY30211,LOAN20010,26-09-2023,0,Late
PAY30212,LOAN20010,26-10-2023,0,Late
PAY30213,LOAN20010,26-11-2023,0,Late
PAY30214,LOAN20010,26-12-2023,0,Late
PAY30215,LOAN20010,26-01-2024,0,Late
PAY30216,LOAN20010,26-02-2024,0,Late
PAY30217,LOAN20010,26-03-2024,0,Late
PAY30218,LOAN20010,26-04-2024,0,Late
PAY30219,LOAN20010,26-05-2024,0,Late
PAY30220,LOAN20010,26-06-2024,0,Late
PAY30221,LOAN20010,26-07-2024,0,Late
PAY30222,LOAN20010,26-08-2024,0,Late
PAY30223,LOAN20010,26-09-2024,0,Late
PAY30224,LOAN20010,26-10-2024,0,Late
PAY30225,LOAN20010,26-11-2024,0,Late
PAY30226,LOAN20011,10-02-2024,0,Late
PAY30227,LOAN20011,10-03-2024,0,Late
PAY30228,LOAN20011,10-04-2024,0,Late
PAY30229,LOAN20012,16-08-2024,0,Late
PAY30230,LOAN20012,16-09-2024,0,Late
PAY30231,LOAN20012,16-10-2024,0,Late
PAY30232,LOAN20012,16-11-2024,0,Late
PAY30233,LOAN20012,16-12-2024,0,Late
PAY30234,LOAN20012,16-01-2025,0,Late
PAY30235,LOAN20012,16-02-2025,0,Late
PAY30236,LOAN20012,16-03-2025,0,Late
PAY30237,LOAN20012,16-04-2025,0,Late
PAY30238,LOAN20012,16-05-2025,0,Late
PAY30239,LOAN20012,16-06-2025,0,Late
PAY30240,LOAN20012,16-07-2025,0,Late
PAY30241,LOAN20012,16-08-2025,0,Late
PAY30242,LOAN20012,16-09-2025,0,Late
PAY30243,LOAN20012,16-10-2025,0,Late
PAY30244,LOAN20012,16-11-2025,0,Late
PAY30245,LOAN20012,16-12-2025,0,Late
PAY30246,LOAN20012,16-01-2026,0,Late
PAY30247,LOAN20012,16-02-2026,0,Late
PAY30248,LOAN20012,16-03-2026,0,Late
PAY30249,LOAN20012,16-04-2026,0,Late
PAY30250,LOAN20012,16-05-2026,0,Late
PAY30251,LOAN20012,16-06-2026,0,Late
PAY30252,LOAN20012,16-07-2026,0,Late
PAY30253,LOAN20012,16-08-2026,0,Late
PAY30254,LOAN20012,16-09-2026,0,Late
PAY30255,LOAN20012,16-10-2026,0,Late
PAY30256,LOAN20012,16-11-2026,0,Late
PAY30257,LOAN20012,16-12-2026,0,Late
PAY30258,LOAN20012,16-01-2027,0,Late
PAY30259,LOAN20012,16-02-2027,0,Late
PAY30260,LOAN20012,16-03-2027,0,Late
PAY30261,LOAN20012,16-04-2027,0,Late
PAY30262,LOAN20013,26-08-2024,0,Late
PAY30263,LOAN20013,26-09-2024,0,Late
PAY30264,LOAN20013,26-10-2024,0,Late
PAY30265,LOAN20013,26-11-2024,0,Late
PAY30266,LOAN20013,26-12-2024,0,Late
PAY30267,LOAN20013,26-01-2025,0,Late
PAY30268,LOAN20013,26-02-2025,0,Late
PAY30269,LOAN20013,26-03-2025,0,Late
PAY30270,LOAN20013,26-04-2025,0,Late
PAY30271,LOAN20014,16-05-2022,0,Late
PAY30272,LOAN20014,16-06-2022,0,Late
PAY30273,LOAN20014,16-07-2022,0,Late
PAY30274,LOAN20014,16-08-2022,0,Late
PAY30275,LOAN20014,16-09-2022,0,Late
PAY30276,LOAN20014,16-10-2022,0,Late
PAY30277,LOAN20014,16-11-2022,0,Late
PAY30278,LOAN20014,16-12-2022,0,Late
PAY30279,LOAN20014,16-01-2023,0,Late
PAY30280,LOAN20014,16-02-2023,0,Late
PAY30281,LOAN20014,16-03-2023,0,Late
PAY30282,LOAN20014,16-04-2023,0,Late
PAY30283,LOAN20014,16-05-2023,0,Late
PAY30284,LOAN20014,16-06-2023,0,Late
PAY30285,LOAN20015,22-09-2024,0,Late
PAY30286,LOAN20015,22-10-2024,0,Late
PAY30287,LOAN20015,22-11-2024,0,Late
PAY30288,LOAN20015,22-12-2024,0,Late
PAY30289,LOAN20015,22-01-2025,0,Late
PAY30290,LOAN20015,22-02-2025,0,Late
PAY30291,LOAN20015,22-03-2025,0,Late
PAY30292,LOAN20015,22-04-2025,0,Late
PAY30293,LOAN20015,22-05-2025,0,Late
PAY30294,LOAN20015,22-06-2025,0,Late
PAY30295,LOAN20015,22-07-2025,0,Late
PAY30296,LOAN20015,22-08-2025,0,Late
PAY30297,LOAN20015,22-09-2025,0,Late
PAY30298,LOAN20015,22-10-2025,0,Late
PAY30299,LOAN20015,22-11-2025,0,Late
PAY30300,LOAN20015,22-12-2025,0,Late
PAY30301,LOAN20015,22-01-2026,0,Late
PAY30302,LOAN20015,22-02-2026,0,Late
PAY30303,LOAN20015,22-03-2026,0,Late
PAY30304,LOAN20015,22-04-2026,0,Late
PAY30305,LOAN20016,30-11-2024,60764.88888888889,OnTime
PAY30306,LOAN20016,30-12-2024,60764.88888888889,OnTime
PAY30307,LOAN20016,30-01-2025,60764.88888888889,OnTime
PAY30308,LOAN20016,28-02-2025,60764.88888888889,OnTime
PAY30309,LOAN20016,30-03-2025,60764.88888888889,OnTime
PAY30310,LOAN20016,30-04-2025,60764.88888888889,OnTime
PAY30311,LOAN20016,30-05-2025,60764.88888888889,OnTime
PAY30312,LOAN20016,30-06-2025,60764.88888888889,OnTime
PAY30313,LOAN20016,30-07-2025,60764.88888888889,OnTime
PAY30314,LOAN20016,30-08-2025,60764.88888888889,OnTime
PAY30315,LOAN20016,30-09-2025,60764.88888888889,OnTime
PAY30316,LOAN20016,30-10-2025,60764.88888888889,OnTime
PAY30317,LOAN20016,30-11-2025,60764.88888888889,OnTime
PAY30318,LOAN20016,30-12-2025,60764.88888888889,OnTime
PAY30319,LOAN20016,30-01-2026,60764.88888888889,OnTime
PAY30320,LOAN20016,28-02-2026,60764.88888888889,OnTime
PAY30321,LOAN20016,30-03-2026,60764.88888888889,OnTime
PAY30322,LOAN20016,30-04-2026,60764.88888888889,OnTime
PAY30323,LOAN20016,30-05-2026,60764.88888888889,OnTime
PAY30324,LOAN20016,30-06-2026,60764.88888888889,OnTime
PAY30325,LOAN20017,19-05-2022,0,Late
PAY30326,LOAN20017,19-06-2022,0,Late
PAY30327,LOAN20017,19-07-2022,0,Late
PAY30328,LOAN20017,19-08-2022,0,Late
PAY30329,LOAN20017,19-09-2022,0,Late
PAY30330,LOAN20017,19-10-2022,0,Late
PAY30331,LOAN20017,19-11-2022,0,Late
PAY30332,LOAN20017,19-12-2022,0,Late
PAY30333,LOAN20017,19-01-2023,0,Late
PAY30334,LOAN20017,19-02-2023,0,Late
PAY30335,LOAN20017,19-03-2023,0,Late
PAY30336,LOAN20017,19-04-2023,0,Late
PAY30337,LOAN20017,19-05-2023,0,Late
PAY30338,LOAN20017,19-06-2023,0,Late
PAY30339,LOAN20017,19-07-2023,0,Late
PAY30340,LOAN20017,19-08-2023,0,Late
PAY30341,LOAN20017,19-09-2023,0,Late
PAY30342,LOAN20017,19-10-2023,0,Late
PAY30343,LOAN20017,19-11-2023,0,Late
PAY30344,LOAN20017,19-12-2023,0,Late
PAY30345,LOAN20017,19-01-2024,0,Late
PAY30346,LOAN20017,19-02-2024,0,Late
PAY30347,LOAN20017,19-03-2024,0,Late
PAY30348,LOAN20017,19-04-2024,0,Late
PAY30349,LOAN20017,19-05-2024,0,Late
PAY30350,LOAN20017,19-06-2024,0,Late
PAY30351,LOAN20017,19-07-2024,0,Late
PAY30352,LOAN20017,19-08-2024,0,Late
PAY30353,LOAN20017,19-09-2024,0,Late
PAY30354,LOAN20017,19-10-2024,0,Late
PAY30355,LOAN20017,19-11-2024,0,Late
PAY30356,LOAN20017,19-12-2024,0,Late
PAY30357,LOAN20017,19-01-2025,0,Late
PAY30358,LOAN20017,19-02-2025,0,Late
PAY30359,LOAN20018,20-06-2025,0,Late
PAY30360,LOAN20018,20-07-2025,0,Late
PAY30361,LOAN20018,20-08-2025,0,Late
PAY30362,LOAN20018,20-09-2025,0,Late
PAY30363,LOAN20018,20-10-2025,0,Late
PAY30364,LOAN20018,20-11-2025,0,Late
PAY30365,LOAN20018,20-12-2025,0,Late
PAY30366,LOAN20018,20-01-2026,0,Late
PAY30367,LOAN20019,20-01-2023,0,Late
PAY30368,LOAN20019,20-02-2023,0,Late
PAY30369,LOAN20019,20-03-2023,0,Late
PAY30370,LOAN20019,20-04-2023,0,Late
PAY30371,LOAN20019,20-05-2023,0,Late
PAY30372,LOAN20019,20-06-2023,0,Late
PAY30373,LOAN20019,20-07-2023,0,Late
PAY30374,LOAN20019,20-08-2023,0,Late
